IDX,상호명,상권업종중분류명,시군구명,행정동명,도로명주소,경도,위도
9009,예쁜여우,이/미용/건강,시흥시,신천동,경기도 시흥시 신천로80번길 11,126.7872645,37.43748383
9010,썬샤인헤어,이/미용/건강,시흥시,정왕2동,경기도 시흥시 정왕신길로111번길 10,126.7326337,37.35542001
9011,진형슈퍼,종합소매점,시흥시,군자동,경기도 시흥시 한우물로21번길 20,126.7823312,37.34433645
9012,쌍둥이과일,음/식료품소매,시흥시,신천동,경기도 시흥시 삼미시장4길 10,126.7836954,37.4394745
9013,토평리사철탕,별식/퓨전요리,시흥시,정왕4동,경기도 시흥시 함송로29번길 7,126.7313963,37.36388564
9014,고향산천,한식,시흥시,신천동,경기도 시흥시 삼미시장1길 19,126.7839148,37.44058505
9015,오징어앤새우클럽,한식,시흥시,능곡동,경기도 시흥시 승지로59번길 1,126.8099392,37.36919831
9016,IN,의복의류,시흥시,정왕2동,경기도 시흥시 정왕대로118번길 34,126.7260354,37.34911385
9017,아리따움,화장품소매,시흥시,연성동,경기도 시흥시 연성로13번길 36,126.8040399,37.39375562
9018,아모레카운셀러,화장품소매,시흥시,정왕1동,경기도 시흥시 중심상가2길 4-3,126.735995,37.3454633
9019,옛날부추곱창,한식,시흥시,능곡동,경기도 시흥시 승지로 54,126.8103415,37.36874281
9020,옛날생막창,한식,시흥시,신현동,경기도 시흥시 신현로38번길 23-1,126.7837463,37.4076951
9021,대신농수산,일식/수산물,시흥시,정왕2동,경기도 시흥시 역전로301번길 18,126.7371506,37.3519362
9022,청수장어굴,한식,시흥시,정왕2동,경기도 시흥시 서촌상가3길 15-6,126.7329845,37.34730528
9023,참이슬순대국,한식,시흥시,대야동,경기도 시흥시 복지로53번길 28,126.7867308,37.44534447
9024,대호마트,종합소매점,시흥시,연성동,경기도 시흥시 상직길 9,126.8129464,37.38970953
9025,올리브떡볶기,분식,시흥시,대야동,경기도 시흥시 대골안길 65,126.7874291,37.44409018
9026,더드림인테리어,가정/주방/인테리어,시흥시,정왕3동,경기도 시흥시 옥구천서로373번길 40,126.7238267,37.35757795
9027,티파니노래방,무도/유흥/가무,시흥시,정왕3동,경기도 시흥시 오이도로 167,126.6881916,37.34587092
9028,예지문구,사무/문구/컴퓨터,시흥시,정왕4동,경기도 시흥시 함송로13번길 28,126.7320735,37.36455968
9029,싱싱회포차,유흥주점,시흥시,능곡동,경기도 시흥시 시흥대로268번길 53,126.8131869,37.36369845
9030,옛수원갈비,한식,시흥시,정왕1동,경기도 시흥시 정왕대로 230,126.738477,37.34484104
